序号,交易所,发行人全称,审核状态,注册地,行业,保荐机构,会计师事务所,律师事务所,更新日期,受理日期
1,深圳证券交易所,万凯新材料股份有限公司,已问询,浙江,化学原料和化学制品制造业,中国国际金融股份有限公司,中汇会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2021/1/18,2020/12/18
2,深圳证券交易所,万香科技股份有限公司,已受理,江苏,化学原料和化学制品制造业,民生证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/25,2020/12/25
3,深圳证券交易所,三博脑科医院管理集团股份有限公司,已受理,北京,卫生,中信证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/30,2020/12/30
4,深圳证券交易所,三友联众集团股份有限公司,注册生效,广东,电气机械和器材制造业,信达证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/9,2020/7/1
5,深圳证券交易所,三河同飞制冷股份有限公司,上市委会议通过,河北,通用设备制造业,中天国富证券有限公司,天健会计师事务所（特殊普通合伙）,北京市环球律师事务所,2020/12/9,2020/7/6
6,上海证券交易所,三生国健药业（上海）股份有限公司,注册生效,上海,医药制造业,华泰联合证券有限责任公司,安永华明会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/6/24,2019/10/31
7,深圳证券交易所,三羊马(重庆)物流股份有限公司,终止(撤回),重庆,装卸搬运和运输代理业,申港证券股份有限公司,天健会计师事务所 （特殊普通合伙）,重庆永和律师事务所,2020/11/14,2020/7/7
8,上海证券交易所,三达膜环境技术股份有限公司,注册生效,陕西,专用设备制造业,长江证券承销保荐有限公司,致同会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2019/10/16,2019/4/19
9,深圳证券交易所,三问家居股份有限公司,已受理,上海,批发业,华泰联合证券有限责任公司,安永华明会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/29,2020/12/29
10,上海证券交易所,上海三友医疗器械股份有限公司,注册生效,上海,专用设备制造业,东方花旗证券有限公司,立信会计师事务所（特殊普通合伙）,北京市嘉源律师事务所,2020/3/12,2019/6/26
11,深圳证券交易所,上海中洲特种合金材料股份有限公司,提交注册,上海,金属制品业,安信证券股份有限公司,众华会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/17,2020/6/29
12,上海证券交易所,上海之江生物科技股份有限公司,注册生效,上海,医药制造业,海通证券股份有限公司,中汇会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/8,2020/6/1
13,上海证券交易所,上海仁会生物制药股份有限公司,中止（财报更新）,上海,医药制造业,国泰君安证券股份有限公司,天健会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/12/31,2020/2/14
14,深圳证券交易所,上海优宁维生物科技股份有限公司,已问询,上海,科技推广和应用服务业,民生证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2021/1/11,2020/7/27
15,深圳证券交易所,上海保立佳化工股份有限公司,上市委会议通过,上海,化学原料和化学制品制造业,国泰君安证券股份有限公司,中兴华会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/11/20,2020/7/3
16,上海证券交易所,上海健耕医药科技股份有限公司,终止,上海,专用设备制造业,国金证券股份有限公司,大华会计师事务所（特殊普通合伙）,上海市通力律师事务所,2020/12/17,2020/5/11
17,上海证券交易所,上海先惠自动化技术股份有限公司,注册生效,上海,专用设备制造业,东兴证券股份有限公司,上会会计师事务所（特殊普通合伙）,上海市广发律师事务所,2020/7/14,2019/12/26
18,深圳证券交易所,上海兰卫医学检验所股份有限公司,已问询,上海,社会工作,国金证券股份有限公司,容诚会计师事务所（特殊普通合伙）,上海澄明则正律师事务所,2021/1/8,2020/7/8
19,上海证券交易所,上海冠龙阀门节能设备股份有限公司,已问询,上海,通用设备制造业,长江证券承销保荐有限公司,大华会计师事务所（特殊普通合伙）,北京海润天睿律师事务所,2020/12/14,2020/11/16
20,深圳证券交易所,上海凯淳实业股份有限公司,上市委会议通过,上海,互联网和相关服务,东方证券承销保荐有限公司,容诚会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/12/2,2020/7/6
21,上海证券交易所,上海凯赛生物技术股份有限公司,注册生效,上海,化学纤维制造业,中信证券股份有限公司,天健会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/7/15,2019/12/10
22,深圳证券交易所,上海凯鑫分离技术股份有限公司,注册生效,上海,生态保护和环境治理业,长江证券承销保荐有限公司,大华会计师事务所（特殊普通合伙）,北京市嘉源律师事务所,2020/9/16,2020/6/30
23,上海证券交易所,上海华依科技集团股份有限公司,中止（财报更新）,上海,专用设备制造业,中信证券股份有限公司,上会会计师事务所（特殊普通合伙）,上海泽昌律师事务所,2020/12/31,2020/7/14
24,上海证券交易所,上海南方模式生物科技股份有限公司,已问询,上海,研究和试验发展,海通证券股份有限公司,中汇会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2021/1/15,2020/12/18
25,上海证券交易所,上海博科资讯股份有限公司,终止,上海,软件和信息技术服务业,申万宏源证券承销保荐有限责任公司,毕马威华振会计师事务所（特殊普通合伙）,上海市通力律师事务所,2020/9/25,2020/6/30
26,上海证券交易所,上海合晶硅材料股份有限公司,终止,上海,计算机、通信和其他电子设备制造业,中国国际金融股份有限公司,立信会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/12/8,2020/6/19
27,上海证券交易所,上海君实生物医药科技股份有限公司,注册生效,上海,医药制造业,中国国际金融股份有限公司,容诚会计师事务所（特殊普通合伙）,北京市嘉源律师事务所,2020/5/20,2019/9/26
28,上海证券交易所,上海和辉光电股份有限公司,已问询,上海,计算机、通信和其他电子设备制造业,东方证券承销保荐有限公司,立信会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/9/11,2020/8/26
29,深圳证券交易所,上海唯万密封科技股份有限公司,已受理,上海,橡胶和塑料制品业,国信证券股份有限公司,安永华明会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/31,2020/12/31
30,上海证券交易所,上海唯赛勃环保科技股份有限公司,已问询,上海,专用设备制造业,国泰君安证券股份有限公司,致同会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/10/23,2020/9/21
31,上海证券交易所,上海复旦张江生物医药股份有限公司,注册生效,上海,医药制造业,海通证券股份有限公司,普华永道中天会计师事务所（特殊普通合伙）,上海市方达律师事务所,2020/5/14,2019/5/13
32,上海证券交易所,上海复旦微电子集团股份有限公司,已问询,上海,计算机、通信和其他电子设备制造业,中信建投证券股份有限公司,天健会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/11/4,2020/9/30
33,上海证券交易所,上海复洁环保科技股份有限公司,注册生效,上海,专用设备制造业,海通证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京大成律师事务所,2020/7/21,2020/1/20
34,深圳证券交易所,上海天好信息技术股份有限公司,已问询,上海,软件和信息技术服务业,渤海证券股份有限公司,信永中和会计师事务所（特殊普通合伙）,上海市瑛明律师事务所,2020/12/16,2020/7/31
35,上海证券交易所,上海奕瑞光电子科技股份有限公司,注册生效,上海,专用设备制造业,海通证券股份有限公司,立信会计师事务所（特殊普通合伙）,上海市方达律师事务所,2020/8/19,2020/3/17
36,上海证券交易所,上海奥普生物医药股份有限公司,已问询,上海,医药制造业,华泰联合证券有限责任公司,立信会计师事务所（特殊普通合伙）,北京市竞天公诚律师事务所,2020/10/29,2020/9/25
37,上海证券交易所,上海宏力达信息技术股份有限公司,注册生效,上海,电气机械和器材制造业,华泰联合证券有限责任公司,大信会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/9/8,2020/3/23
38,深圳证券交易所,上海宽创国际文化科技股份有限公司,已受理,上海,文化艺术业,海通证券股份有限公司,大信会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/31,2020/12/31
39,深圳证券交易所,上海宾酷网络科技股份有限公司,已问询,上海,互联网和相关服务,中信证券股份有限公司,天健会计师事务所（特殊普通合伙）,浙江天册律师事务所,2021/1/5,2020/7/24
40,深圳证券交易所,上海尤安建筑设计股份有限公司,上市委会议通过,上海,专业技术服务业,安信证券股份有限公司,大华会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/12/8,2020/7/3
41,上海证券交易所,上海康鹏科技股份有限公司,中止（财报更新）,上海,化学原料和化学制品制造业,华泰联合证券有限责任公司,毕马威华振会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/10/28,2019/12/25
42,上海证券交易所,上海微创心脉医疗科技股份有限公司,注册生效,上海,专用设备制造业,国泰君安证券股份有限公司,华菁证券有限公司,毕马威华振会计师事务所（特殊普通合伙）,2019/7/2,2019/4/11
43,深圳证券交易所,上海德必文化创意产业发展（集团）股份有限公司,提交注册,上海,商务服务业,民生证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2021/1/19,2020/7/2
44,上海证券交易所,上海拓璞数控科技股份有限公司,终止,上海,通用设备制造业,招商证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京市竞天公诚律师事务所,2019/12/5,2019/6/19
45,上海证券交易所,上海新数网络科技股份有限公司,终止,上海,互联网和相关服务,天风证券股份有限公司,普华永道中天会计师事务所（特殊普通合伙）,上海市通力律师事务所,2019/8/23,2019/6/25
46,上海证券交易所,上海新致软件股份有限公司,注册生效,上海,软件和信息技术服务业,长江证券承销保荐有限公司,立信会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/10/27,2019/12/27
47,上海证券交易所,上海昊海生物科技股份有限公司,注册生效,上海,医药制造业,瑞银证券有限责任公司,安永华明会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2019/9/27,2019/4/18
48,上海证券交易所,上海晶丰明源半导体股份有限公司,注册生效,上海,软件和信息技术服务业,广发证券股份有限公司,立信会计师事务所（特殊普通合伙）,国浩律师（杭州）事务所,2019/9/10,2019/4/2
49,上海证券交易所,上海柏楚电子科技股份有限公司,注册生效,上海,软件和信息技术服务业,中信证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京市天元律师事务所,2019/7/16,2019/4/10
50,深圳证券交易所,上海欣巴自动化科技股份有限公司,已问询,上海,通用设备制造业,国金证券股份有限公司,容诚会计师事务所（特殊普通合伙）,北京市天元律师事务所,2020/12/1,2020/11/4
51,上海证券交易所,上海正帆科技股份有限公司,注册生效,上海,通用设备制造业,国泰君安证券股份有限公司,容诚会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/7/28,2020/4/8
52,上海证券交易所,上海步科自动化股份有限公司,注册生效,上海,仪器仪表制造业,海通证券股份有限公司,天健会计师事务所（特殊普通合伙）,国浩律师（深圳）事务所,2020/10/14,2020/4/20
53,上海证券交易所,上海泰坦科技股份有限公司,终止,上海,研究和试验发展,光大证券股份有限公司,大信会计师事务所（特殊普通合伙）,北京德恒律师事务所,2019/9/26,2019/4/11
54,上海证券交易所,上海泽生科技开发股份有限公司,终止,上海,医药制造业,华金证券股份有限公司,中天运会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/10,2020/6/17
55,上海证券交易所,上海派能能源科技股份有限公司,注册生效,上海,电气机械和器材制造业,中信建投证券股份有限公司,天健会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/1,2020/5/27
56,上海证券交易所,上海海优威新材料股份有限公司,注册生效,上海,橡胶和塑料制品业,海通证券股份有限公司,容诚会计师事务所（特殊普通合伙）,北京国枫律师事务所,2020/12/15,2020/5/15
57,深圳证券交易所,上海海融食品科技股份有限公司,注册生效,上海,食品制造业,东方证券承销保荐有限公司,众华会计师事务所（特殊普通合伙）,北京大成律师事务所,2020/11/12,2020/6/30
58,上海证券交易所,上海澳华内镜股份有限公司,已受理,上海,专用设备制造业,中信证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/12/25,2020/12/25
59,深圳证券交易所,上海灿星文化传媒股份有限公司,已问询,上海,广播、电视、电影和影视录音制作业,中信建投证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/30,2020/7/2
60,上海证券交易所,上海电气风电集团股份有限公司,提交注册,上海,通用设备制造业,中信证券股份有限公司,普华永道中天会计师事务所（特殊普通合伙）,上海市通力律师事务所,2021/1/15,2020/6/19
61,深圳证券交易所,上海百金化工集团股份有限公司,终止(撤回),上海,化学原料和化学制品制造业,海通证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京国枫律师事务所,2020/11/20,2020/11/6
62,上海证券交易所,上海皓元医药股份有限公司,上市委会议,上海,研究和试验发展,民生证券股份有限公司,容诚会计师事务所（特殊普通合伙）,上海市广发律师事务所,2021/1/8,2020/5/26
63,深圳证券交易所,上海益中亘泰（集团）股份有限公司,已问询,上海,卫生,东北证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,北京国枫律师事务所,2020/12/4,2020/7/30
64,上海证券交易所,上海睿昂基因科技股份有限公司,上市委会议,上海,医药制造业,海通证券股份有限公司,中汇会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/11/26,2020/6/23
65,上海证券交易所,上海硅产业集团股份有限公司,注册生效,上海,计算机、通信和其他电子设备制造业,海通证券股份有限公司,普华永道中天会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/3/17,2019/4/30
66,上海证券交易所,上海禾赛科技股份有限公司,已受理,上海,计算机、通信和其他电子设备制造业,华泰联合证券有限责任公司,德勤华永会计师事务所（特殊普通合伙）,北京市通商律师事务所,2021/1/7,2021/1/7
67,上海证券交易所,上海美迪西生物医药股份有限公司,注册生效,上海,研究和试验发展,广发证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京金诚同达律师事务所,2019/10/12,2019/4/3
68,上海证券交易所,上海翼捷工业安全设备股份有限公司,提交注册,上海,仪器仪表制造业,国金证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2021/1/6,2020/6/1
69,深圳证券交易所,上海肇民新材料科技股份有限公司,上市委会议通过,上海,橡胶和塑料制品业,海通证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,北京市环球律师事务所,2020/12/15,2020/6/28
70,深圳证券交易所,上海能辉科技股份有限公司,已问询,上海,专业技术服务业,民生证券股份有限公司,中汇会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2021/1/20,2020/8/11
71,上海证券交易所,上海艾为电子技术股份有限公司,已问询,上海,计算机、通信和其他电子设备制造业,中信证券股份有限公司,大信会计师事务所（特殊普通合伙）,北京市竞天公诚律师事务所,2020/11/3,2020/9/30
72,上海证券交易所,上海艾力斯医药科技股份有限公司,注册生效,上海,医药制造业,中信证券股份有限公司,普华永道中天会计师事务所（特殊普通合伙）,上海市通力律师事务所,2020/11/3,2020/4/17
73,深圳证券交易所,上海艾录包装股份有限公司,上市委会议通过,上海,造纸和纸制品业,中信证券股份有限公司,立信会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2021/1/5,2020/7/6
74,上海证券交易所,上海蓝科石化环保科技股份有限公司,已问询,上海,生态保护和环境治理业,中信建投证券股份有限公司,天健会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/11/5,2020/10/9
75,上海证券交易所,上海谊众药业股份有限公司,已问询,上海,医药制造业,国金证券股份有限公司,容诚会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/9/8,2020/8/11
76,上海证券交易所,上海赛伦生物技术股份有限公司,终止,上海,医药制造业,海通证券股份有限公司,大华会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2019/11/11,2019/5/9
77,深圳证券交易所,上海载德信息科技股份有限公司,已受理,上海,软件和信息技术服务业,华泰联合证券有限责任公司,立信会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/25,2020/12/25
78,上海证券交易所,上海阿拉丁生化科技股份有限公司,注册生效,上海,研究和试验发展,西部证券股份有限公司,大华会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/9/8,2020/4/28
79,深圳证券交易所,上海阿莱德实业股份有限公司,已问询,上海,计算机、通信和其他电子设备制造业,兴业证券股份有限公司,大华会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/12/8,2020/7/14
80,深圳证券交易所,上海雅创电子集团股份有限公司,已问询,上海,软件和信息技术服务业,国信证券股份有限公司,安永华明会计师事务所（特殊普通合伙）,上海市广发律师事务所,2021/1/13,2020/7/6
81,深圳证券交易所,上海霍普建筑设计事务所股份有限公司,上市委会议通过,上海,综合,长江证券承销保荐有限公司,立信会计师事务所（特殊普通合伙）,北京金诚同达律师事务所,2021/1/6,2020/6/28
82,上海证券交易所,上海霍莱沃电子系统技术股份有限公司,上市委会议,上海,软件和信息技术服务业,海通证券股份有限公司,中汇会计师事务所（特殊普通合伙）,北京金杜（成都）律师事务所,2020/12/3,2020/6/18
83,深圳证券交易所,上特展示（厦门）股份有限公司,终止(撤回),福建,家具制造业,国金证券股份有限公司,大华会计师事务所（特殊普通合伙）,北京市康达律师事务所,2020/12/30,2020/7/7
84,上海证券交易所,上纬新材料科技股份有限公司,注册生效,上海,化学原料和化学制品制造业,申万宏源证券承销保荐有限责任公司,毕马威华振会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/9/1,2019/12/27
85,深圳证券交易所,世纪恒通科技股份有限公司,中止,贵州,软件和信息技术服务业,招商证券股份有限公司,中汇会计师事务所（特殊普通合伙）,北京市天元律师事务所,2020/12/25,2020/9/30
86,上海证券交易所,东来涂料技术（上海）股份有限公司,注册生效,上海,化学原料和化学制品制造业,东方证券承销保荐有限公司,立信会计师事务所（特殊普通合伙）,北京市大成律师事务所,2020/9/8,2020/4/9
87,上海证券交易所,东芯半导体股份有限公司,已问询,上海,计算机、通信和其他电子设备制造业,海通证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/10/26,2020/9/22
88,深圳证券交易所,东莞市凯格精机股份有限公司,已问询,广东,专用设备制造业,国信证券股份有限公司,信永中和会计师事务所（特殊普通合伙）,北京市通商律师事务所,2020/12/23,2020/11/25
89,深圳证券交易所,东莞市汉维科技股份有限公司,已问询,广东,化学原料和化学制品制造业,东莞证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/12/29,2020/12/3
90,深圳证券交易所,东莞市达瑞电子股份有限公司,上市委会议通过,广东,计算机、通信和其他电子设备制造业,国泰君安证券股份有限公司,致同会计师事务所（特殊普通合伙）,广东信达律师事务所,2020/11/5,2020/7/6
91,上海证券交易所,东莞市鼎通精密科技股份有限公司,注册生效,广东,计算机、通信和其他电子设备制造业,东莞证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京国枫律师事务所,2020/11/17,2020/4/29
92,深圳证券交易所,东莞怡合达自动化股份有限公司,上市委会议通过,广东,通用设备制造业,东莞证券股份有限公司,天健会计师事务所（特殊普通合伙）,广东华商律师事务所,2020/12/11,2020/6/22
93,上海证券交易所,东软医疗系统股份有限公司,终止,辽宁,专用设备制造业,中国国际金融股份有限公司,立信会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/11/27,2020/6/30
94,深圳证券交易所,东风汽车集团股份有限公司,上市委会议通过,湖北,汽车制造业,中国国际金融股份有限公司,普华永道会计师事务所（特殊普通合伙）,北京市通商律师事务所,2020/12/11,2020/10/13
95,深圳证券交易所,中伟新材料股份有限公司,注册生效,贵州,计算机、通信和其他电子设备制造业,华泰联合证券有限责任公司,天职国际会计师事务所（特殊普通合伙）,湖南启元律师事务所,2020/11/25,2020/6/24
96,深圳证券交易所,中兰环保科技股份有限公司,上市委会议通过,广东,生态保护和环境治理业,中原证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京国枫律师事务所,2020/11/25,2020/7/6
97,上海证券交易所,中国电器科学研究院股份有限公司,注册生效,广东,专业技术服务业,中信建投证券股份有限公司,安永华明会计师事务所（特殊普通合伙）,北京金诚同达律师事务所,2019/10/16,2019/5/6
98,上海证券交易所,中国科学院沈阳科学仪器股份有限公司,已受理,辽宁,通用设备制造业,招商证券股份有限公司,容诚会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/28,2020/12/28
99,上海证券交易所,中国铁建重工集团股份有限公司,上市委会议,湖南,专用设备制造业,中国国际金融股份有限公司,德勤华永会计师事务所（特殊普通合伙）,北京市君合律师事务所,2021/1/7,2020/6/15
100,上海证券交易所,中国铁路通信信号股份有限公司,注册生效,北京,铁路、船舶、航空航天和其他运输设备制造业,中国国际金融股份有限公司,安永华明会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2019/6/27,2019/4/16
101,深圳证券交易所,中山华利实业集团股份有限公司,上市委会议通过,广东,皮革、毛皮、羽毛及其制品和制鞋业,兴业证券股份有限公司,容诚会计师事务所（特殊普通合伙）,广东信达律师事务所,2020/11/15,2020/7/6
102,上海证券交易所,中微半导体设备（上海）股份有限公司,注册生效,上海,专用设备制造业,海通证券股份有限公司,普华永道中天会计师事务所（特殊普通合伙）,上海市方达律师事务所,2019/7/1,2019/3/29
103,深圳证券交易所,中星技术股份有限公司,终止(撤回),广东,软件和信息技术服务业,中信建投证券股份有限公司,中汇会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/12/16,2020/7/2
104,深圳证券交易所,中汽研汽车试验场股份有限公司,已受理,江苏,专业技术服务业,中国银河证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,北京市君合律师事务所,2020/12/30,2020/12/30
105,深圳证券交易所,中消云科技股份有限公司,中止,广东,计算机、通信和其他电子设备制造业,中信证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/11/30,2020/9/30
106,上海证券交易所,中科寒武纪科技股份有限公司,注册生效,北京,计算机、通信和其他电子设备制造业,中信证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/6/23,2020/3/26
107,上海证券交易所,中科微至智能制造科技江苏股份有限公司,已问询,江苏,通用设备制造业,中信证券股份有限公司,毕马威华振会计师事务所（特殊普通合伙）,北京国枫律师事务所,2020/12/23,2020/11/25
108,上海证券交易所,中科星图股份有限公司,注册生效,北京,软件和信息技术服务业,中信建投证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京市君合律师事务所,2020/6/11,2019/3/29
109,深圳证券交易所,中粮工程科技股份有限公司,上市委会议通过,江苏,专业技术服务业,中国国际金融股份有限公司,信永中和会计师事务所（特殊普通合伙）,北京市君合律师事务所,2021/1/18,2020/7/24
110,深圳证券交易所,中红普林医疗用品股份有限公司,上市委会议通过,河北,专用设备制造业,海通证券股份有限公司,容诚会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/11/16,2020/7/1
111,上海证券交易所,中联云港数据科技股份有限公司,终止,北京,互联网和相关服务,华泰联合证券有限责任公司,信永中和会计师事务所（特殊普通合伙）,国浩律师（北京）事务所,2019/10/31,2019/7/9
112,上海证券交易所,中自环保科技股份有限公司,已受理,四川,化学原料和化学制品制造业,申万宏源证券承销保荐有限责任公司,信永中和会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/12/30,2020/12/30
113,上海证券交易所,中芯国际集成电路制造有限公司,注册生效,境外,计算机、通信和其他电子设备制造业,海通证券股份有限公司,中国国际金融股份有限公司,普华永道中天会计师事务所（特殊普通合伙）,2020/6/29,2020/6/1
114,深圳证券交易所,中证信用增进股份有限公司,已问询,广东,商务服务业,招商证券股份有限公司,安永华明会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/11/30,2020/11/5
115,深圳证券交易所,中辰电缆股份有限公司,注册生效,江苏,电气机械和器材制造业,海通证券股份有限公司,信永中和会计师事务所（特殊普通合伙）,北京市天元律师事务所,2020/12/24,2020/7/2
116,深圳证券交易所,中金辐照股份有限公司,提交注册,广东,其他制造业,中信建投证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京大成律师事务所,2020/12/31,2020/6/28
117,上海证券交易所,中钢洛耐科技股份有限公司,已问询,河南,非金属矿物制品业,中信建投证券股份有限公司,大华会计师事务所（特殊普通合伙）,北京市康达律师事务所,2021/1/19,2020/12/21
118,上海证券交易所,中钢集团马鞍山矿山研究总院股份有限公司,已问询,安徽,专业技术服务业,民生证券股份有限公司,大华会计师事务所（特殊普通合伙）,北京市君致律师事务所,2020/12/22,2020/11/24
119,上海证券交易所,中铁高铁电气装备股份有限公司,已问询,陕西,铁路、船舶、航空航天和其他运输设备制造业,中信建投证券股份有限公司,大信会计师事务所（特殊普通合伙）,北京市康达律师事务所,2021/1/18,2020/12/21
120,深圳证券交易所,中集车辆（集团）股份有限公司,上市委会议通过,广东,汽车制造业,海通证券股份有限公司,普华永道中天会计师事务所（特殊普通合伙）,广东信达律师事务所,2020/12/25,2020/7/31
121,上海证券交易所,丹娜（天津）生物科技股份有限公司,已问询,天津,医药制造业,中信证券股份有限公司,立信会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/17,2020/11/20
122,深圳证券交易所,久盛电气股份有限公司,已问询,浙江,电气机械和器材制造业,招商证券股份有限公司,立信会计师事务所（特殊普通合伙）,国浩律师（杭州）事务所,2021/1/13,2020/7/7
123,深圳证券交易所,久祺股份有限公司,上市委会议通过,浙江,铁路、船舶、航空航天和其他运输设备制造业,东兴证券股份有限公司,天健会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2021/1/7,2020/7/31
124,上海证券交易所,乐鑫信息科技（上海）股份有限公司,注册生效,上海,计算机、通信和其他电子设备制造业,招商证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2019/7/1,2019/4/3
125,上海证券交易所,九号有限公司,注册生效,境外,计算机、通信和其他电子设备制造业,国泰君安证券股份有限公司,德勤华永会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/9/22,2019/4/17
126,深圳证券交易所,九江善水科技股份有限公司,已问询,江西,化学原料和化学制品制造业,中原证券股份有限公司,中天运会计师事务所（特殊普通合伙）,江西华邦律师事务所,2021/1/11,2020/7/1
127,上海证券交易所,二十一世纪空间技术应用股份有限公司,注册生效,北京,软件和信息技术服务业,中信建投证券股份有限公司,信永中和会计师事务所（特殊普通合伙）,北京国枫律师事务所,2019/10/23,2019/3/27
128,上海证券交易所,云从科技集团股份有限公司,已问询,广东,软件和信息技术服务业,中信建投证券股份有限公司,大华会计师事务所（特殊普通合伙）,北京国枫律师事务所,2020/12/31,2020/12/3
129,上海证券交易所,云南北方奥雷德光电科技股份有限公司,终止,云南,计算机、通信和其他电子设备制造业,国泰君安证券股份有限公司,信永中和会计师事务所（特殊普通合伙）,北京市嘉源律师事务所,2020/12/23,2020/3/30
130,深圳证券交易所,云南贝泰妮生物科技集团股份有限公司,提交注册,云南,化学原料和化学制品制造业,国信证券股份有限公司,天衡会计师事务所（特殊普通合伙）,北京市君合律师事务所,2021/1/14,2020/7/6
131,上海证券交易所,云知声智能科技股份有限公司,已问询,北京,软件和信息技术服务业,中国国际金融股份有限公司,立信会计师事务所（特殊普通合伙）,北京国枫律师事务所,2020/12/1,2020/11/3
132,深圳证券交易所,亚洲渔港股份有限公司,已问询,辽宁,商务服务业,国信证券股份有限公司,众华会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/12/15,2020/7/10
133,上海证券交易所,亚洲硅业（青海）股份有限公司,已问询,青海,计算机、通信和其他电子设备制造业,平安证券股份有限公司,天健会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/23,2020/11/25
134,上海证券交易所,交控科技股份有限公司,注册生效,北京,铁路、船舶、航空航天和其他运输设备制造业,中国国际金融股份有限公司,立信会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2019/7/4,2019/3/29
135,上海证券交易所,京东数字科技控股股份有限公司,已问询,北京,软件和信息技术服务业,国泰君安证券股份有限公司,五矿证券有限公司,德勤华永会计师事务所（特殊普通合伙）,2020/9/30,2020/9/11
